Area,Measure,Rectangle,Species,Year,Values
A,Landings_t_,39G1,LEM,2014,0.608
A,Landings_t_,39G0,LEM,2014,0.965
A,Landings_t_,39F9,LEM,2014,0.068
A,Landings_t_,38G3,LEM,2014,0.001
A,Landings_t_,38G2,LEM,2014,0.001
A,Landings_t_,38G1,LEM,2014,0.021
A,Landings_t_,38G0,LEM,2014,1.944
A,Landings_t_,38F9,LEM,2014,0.021
A,Landings_t_,37G2,LEM,2014,0.001
A,Landings_t_,37G1,LEM,2014,0.011
A,Landings_t_,37G0,LEM,2014,0.005
B,Landings_t_,40G6,POK,2014,0.004
B,Landings_t_,40G5,POK,2014,0.793
B,Landings_t_,40G4,POK,2014,13.464
B,Landings_t_,39G6,POK,2014,0.06
B,Landings_t_,39G5,POK,2014,0.853
B,Landings_t_,39G4,POK,2014,15.9882
B,Landings_t_,38G5,POK,2014,0.159
A,Landings_t_,41G2,POK,2014,0.295
A,Landings_t_,41G0,POK,2014,0.061
A,Landings_t_,40G3,POK,2014,0.3116
A,Landings_t_,40G2,POK,2014,1.0498
A,Landings_t_,40G1,POK,2014,0.004
A,Landings_t_,40G0,POK,2014,0.002
A,Landings_t_,40F9,POK,2014,0.143
A,Landings_t_,39G4,POK,2014,27.2918
A,Landings_t_,39G3,POK,2014,12.4553
A,Landings_t_,39G2,POK,2014,0.309
A,Landings_t_,39G1,POK,2014,0.715
A,Landings_t_,39G0,POK,2014,1.718
A,Landings_t_,39F9,POK,2014,1.941
A,Landings_t_,38G4,POK,2014,3.361
A,Landings_t_,38G3,POK,2014,14.93
A,Landings_t_,38G2,POK,2014,6.48
A,Landings_t_,38G1,POK,2014,0.251
A,Landings_t_,38G0,POK,2014,8.326
A,Landings_t_,38F9,POK,2014,2.151
A,Landings_t_,37G2,POK,2014,0.29
A,Landings_t_,37G1,POK,2014,15.539
A,Landings_t_,37G0,POK,2014,2.372
B,Landings_t_,40G5,MZZ,2014,0.475
B,Landings_t_,38G8,MZZ,2014,0.083
B,Landings_t_,38G5,MZZ,2014,0.29
B,Landings_t_,37G6,MZZ,2014,0.008
B,Landings_t_,37G5,MZZ,2014,0.02
A,Landings_t_,38G4,MZZ,2014,5.92
A,Landings_t_,37G4,MZZ,2014,0.235
A,Landings_t_,36G4,MZZ,2014,154.028
A,Landings_t_,40G0,ELZ,2014,0.043
A,Landings_t_,40F9,ELZ,2014,0.001
A,Landings_t_,39G2,ELZ,2014,0.019
A,Landings_t_,39G0,ELZ,2014,0.238
A,Landings_t_,39F9,ELZ,2014,0.002
A,Landings_t_,38G2,ELZ,2014,0.024
A,Landings_t_,38G0,ELZ,2014,0.014
C,Landings_t_,60H5,TRS,2014,0.164304
C,Landings_t_,60H4,TRS,2014,1.07448
C,Landings_t_,59H5,TRS,2014,2.379509
C,Landings_t_,59H4,TRS,2014,0.445826
C,Landings_t_,58H5,TRS,2014,0.373673
C,Landings_t_,58H4,TRS,2014,2.787106
C,Landings_t_,58H3,TRS,2014,0.015591
C,Landings_t_,57H4,TRS,2014,0.050049
C,Landings_t_,57H3,TRS,2014,1.802432
C,Landings_t_,56H3,TRS,2014,0.434387
C,Landings_t_,56H2,TRS,2014,2.638681
C,Landings_t_,55H2,TRS,2014,0.828862
C,Landings_t_,55H1,TRS,2014,1.009145
C,Landings_t_,55H0,TRS,2014,0.061096
C,Landings_t_,54H1,TRS,2014,3.100157
C,Landings_t_,54H0,TRS,2014,0.209015
C,Landings_t_,53H1,TRS,2014,0.747293
C,Landings_t_,52H1,TRS,2014,2.951189
C,Landings_t_,51H1,TRS,2014,0.50316
C,Landings_t_,50H7,TRS,2014,1.17882
C,Landings_t_,50H1,TRS,2014,0.694854
C,Landings_t_,49H7,TRS,2014,0.71484
C,Landings_t_,49H6,TRS,2014,3.056974
C,Landings_t_,49H5,TRS,2014,1.822763
C,Landings_t_,49H4,TRS,2014,0.229842
C,Landings_t_,49H2,TRS,2014,0.976183
C,Landings_t_,49H1,TRS,2014,0.219499
C,Landings_t_,49H0,TRS,2014,1.765652
C,Landings_t_,49G9,TRS,2014,1.754125
C,Landings_t_,49G8,TRS,2014,0.189
C,Landings_t_,48H3,TRS,2014,0.314982
C,Landings_t_,48H2,TRS,2014,0.715697
C,Landings_t_,48H0,TRS,2014,0.11856
C,Landings_t_,48G9,TRS,2014,0.003832
B,Landings_t_,40H0,TRS,2014,0.177
B,Landings_t_,40G8,TRS,2014,1.08
B,Landings_t_,40G6,TRS,2014,0.414
B,Landings_t_,39G9,TRS,2014,3.0195
B,Landings_t_,39G8,TRS,2014,8.8425
B,Landings_t_,39G7,TRS,2014,0.1845
B,Landings_t_,39G6,TRS,2014,0.7695
B,Landings_t_,39G5,TRS,2014,0.0945
B,Landings_t_,38G9,TRS,2014,5.5755
B,Landings_t_,38G8,TRS,2014,60.507
B,Landings_t_,38G7,TRS,2014,8.838
B,Landings_t_,38G6,TRS,2014,13.5675
B,Landings_t_,38G5,TRS,2014,1.1565
B,Landings_t_,37G9,TRS,2014,10.8135
B,Landings_t_,37G8,TRS,2014,5.2785
B,Landings_t_,37G6,TRS,2014,10.7595
B,Landings_t_,37G5,TRS,2014,3.339
A,Landings_t_,38G5,TRS,2014,0.0405
A,Landings_t_,37G4,TRS,2014,0.4815
A,Landings_t_,36G4,TRS,2014,2.9745
C,Landings_t_,47H2,MAC,2014,0.06
B,Landings_t_,46G8,MAC,2014,0.007
B,Landings_t_,46G7,MAC,2014,0.006
B,Landings_t_,45H1,MAC,2014,0.002
B,Landings_t_,45H0,MAC,2014,0.015
B,Landings_t_,45G9,MAC,2014,0.018
B,Landings_t_,44G9,MAC,2014,0.032
B,Landings_t_,42G8,MAC,2014,0.009
B,Landings_t_,41G5,MAC,2014,0.002
B,Landings_t_,40G6,MAC,2014,0.016
B,Landings_t_,40G4,MAC,2014,0.381
B,Landings_t_,39G8,MAC,2014,0.002
B,Landings_t_,39G5,MAC,2014,0.354
B,Landings_t_,38G5,MAC,2014,0.019
A,Landings_t_,42G0,MAC,2014,5.246
A,Landings_t_,41G2,MAC,2014,0.096
A,Landings_t_,41G1,MAC,2014,0.02
A,Landings_t_,40G3,MAC,2014,0.009
A,Landings_t_,40G2,MAC,2014,2.715
A,Landings_t_,40G1,MAC,2014,0.164
A,Landings_t_,40G0,MAC,2014,1.406
A,Landings_t_,40F9,MAC,2014,0.062
A,Landings_t_,39G4,MAC,2014,0.361
A,Landings_t_,39G3,MAC,2014,0.18
A,Landings_t_,39G2,MAC,2014,0.016
A,Landings_t_,39G1,MAC,2014,0.24
A,Landings_t_,39G0,MAC,2014,2.873
A,Landings_t_,39F9,MAC,2014,0.224
A,Landings_t_,38G4,MAC,2014,0.012
A,Landings_t_,38G3,MAC,2014,0.008
A,Landings_t_,38G2,MAC,2014,0.036
A,Landings_t_,38G1,MAC,2014,0.005
A,Landings_t_,38G0,MAC,2014,0.107
A,Landings_t_,38F9,MAC,2014,0.001
A,Landings_t_,37G3,MAC,2014,0.011
A,Landings_t_,37G2,MAC,2014,0.052
A,Landings_t_,37G1,MAC,2014,0.391
A,Landings_t_,37G0,MAC,2014,0.255
C,Landings_t_,60H5,FRF,2014,0.041
C,Landings_t_,60H4,FRF,2014,1.569
C,Landings_t_,59H5,FRF,2014,2.998096
C,Landings_t_,59H4,FRF,2014,0.103922
C,Landings_t_,58H5,FRF,2014,15.8
C,Landings_t_,58H4,FRF,2014,0.107309
C,Landings_t_,58H3,FRF,2014,0.084143
C,Landings_t_,57H4,FRF,2014,0.908275
C,Landings_t_,57H3,FRF,2014,2.550269
C,Landings_t_,56H3,FRF,2014,0.470123
C,Landings_t_,56H2,FRF,2014,3.554235
C,Landings_t_,55H2,FRF,2014,36.403167
C,Landings_t_,55H1,FRF,2014,14.820588
C,Landings_t_,54H1,FRF,2014,0.120935
C,Landings_t_,54H0,FRF,2014,0.024068
C,Landings_t_,53H1,FRF,2014,0.843975
C,Landings_t_,52H1,FRF,2014,0.901345
C,Landings_t_,52H0,FRF,2014,0.1
C,Landings_t_,51H1,FRF,2014,2.241962
C,Landings_t_,50H7,FRF,2014,1.3564
C,Landings_t_,50H1,FRF,2014,63.92106
C,Landings_t_,49H7,FRF,2014,0.1132
C,Landings_t_,49H6,FRF,2014,2.178067
C,Landings_t_,49H5,FRF,2014,16.875842
C,Landings_t_,49H4,FRF,2014,0.077
C,Landings_t_,49H2,FRF,2014,4.263601
C,Landings_t_,49H1,FRF,2014,7.353917
C,Landings_t_,49H0,FRF,2014,0.954167
C,Landings_t_,49G9,FRF,2014,0.81044
C,Landings_t_,48H3,FRF,2014,0.336888
C,Landings_t_,48H2,FRF,2014,0.032874
B,Landings_t_,38G8,FRF,2014,0.004
B,Landings_t_,38G6,FRF,2014,0.103
B,Landings_t_,37G9,FRF,2014,1.507
A,Landings_t_,40G4,FRF,2014,0.018
A,Landings_t_,39G3,FRF,2014,0.05
A,Landings_t_,37G4,FRF,2014,0.015
A,Landings_t_,36G4,FRF,2014,1.185
A,Landings_t_,42G0,NEP,2014,0.008
A,Landings_t_,41G2,NEP,2014,1.307
A,Landings_t_,41G0,NEP,2014,0.005
C,Landings_t_,60H5,FVE,2014,19.121922
C,Landings_t_,60H4,FVE,2014,51.404
C,Landings_t_,59H5,FVE,2014,161.510027
C,Landings_t_,59H4,FVE,2014,36.963019
C,Landings_t_,58H5,FVE,2014,1.577556
C,Landings_t_,58H4,FVE,2014,2.275329
C,Landings_t_,57H4,FVE,2014,0.021019
C,Landings_t_,57H3,FVE,2014,2.695804
C,Landings_t_,56H3,FVE,2014,0.278098
C,Landings_t_,56H2,FVE,2014,5.590688
C,Landings_t_,55H2,FVE,2014,1.696584
C,Landings_t_,55H1,FVE,2014,0.08
C,Landings_t_,54H1,FVE,2014,0.011319
C,Landings_t_,54H0,FVE,2014,0.045278
C,Landings_t_,52H1,FVE,2014,0.041088
C,Landings_t_,51H1,FVE,2014,0.001027
C,Landings_t_,50H7,FVE,2014,0.005
C,Landings_t_,49H6,FVE,2014,0.015649
C,Landings_t_,49H5,FVE,2014,0.003355
C,Landings_t_,49G9,FVE,2014,0.001151
C,Landings_t_,60H5,WHF,2014,4.774733
C,Landings_t_,60H4,WHF,2014,31.8654
C,Landings_t_,59H5,WHF,2014,26.978591
C,Landings_t_,59H4,WHF,2014,23.133579
C,Landings_t_,58H5,WHF,2014,2.306057
C,Landings_t_,58H4,WHF,2014,65.631769
C,Landings_t_,58H3,WHF,2014,3.189419
C,Landings_t_,57H4,WHF,2014,5.933595
C,Landings_t_,57H3,WHF,2014,47.718324
C,Landings_t_,56H3,WHF,2014,16.110986
C,Landings_t_,56H2,WHF,2014,54.784964
C,Landings_t_,56H1,WHF,2014,0.106358
C,Landings_t_,55H2,WHF,2014,14.455629
C,Landings_t_,55H1,WHF,2014,80.276824
C,Landings_t_,55H0,WHF,2014,2.248919
C,Landings_t_,54H1,WHF,2014,64.714955
C,Landings_t_,54H0,WHF,2014,12.457402
C,Landings_t_,53H1,WHF,2014,10.764699
C,Landings_t_,53H0,WHF,2014,0.468356
C,Landings_t_,52H1,WHF,2014,18.343914
C,Landings_t_,51H1,WHF,2014,13.953237
C,Landings_t_,51G9,WHF,2014,0.027596
C,Landings_t_,50H7,WHF,2014,7.023456
C,Landings_t_,50H1,WHF,2014,15.030961
C,Landings_t_,50G9,WHF,2014,0.164942
C,Landings_t_,49H7,WHF,2014,3.666272
C,Landings_t_,49H6,WHF,2014,7.754376
C,Landings_t_,49H5,WHF,2014,7.303563
C,Landings_t_,49H4,WHF,2014,1.73438
C,Landings_t_,49H2,WHF,2014,12.914175
C,Landings_t_,49H1,WHF,2014,11.308141
C,Landings_t_,49H0,WHF,2014,42.562795
C,Landings_t_,49G9,WHF,2014,28.970994
C,Landings_t_,48H4,WHF,2014,0.021454
C,Landings_t_,48H3,WHF,2014,5.242923
C,Landings_t_,48H2,WHF,2014,5.30041
C,Landings_t_,48H1,WHF,2014,0.444978
C,Landings_t_,48H0,WHF,2014,6.464931
C,Landings_t_,48G9,WHF,2014,0.198824
C,Landings_t_,60H5,SME,2014,3.511204
C,Landings_t_,60H4,SME,2014,0.009
C,Landings_t_,59H5,SME,2014,7.855228
C,Landings_t_,59H4,SME,2014,0.334932
C,Landings_t_,58H5,SME,2014,21.75404
C,Landings_t_,58H4,SME,2014,1.498856
C,Landings_t_,58H3,SME,2014,0.005531
C,Landings_t_,57H4,SME,2014,0.011063
C,Landings_t_,57H3,SME,2014,0.272
C,Landings_t_,56H3,SME,2014,0.108622
C,Landings_t_,56H2,SME,2014,0.402694
C,Landings_t_,55H2,SME,2014,64.160023
C,Landings_t_,55H1,SME,2014,49.079503
C,Landings_t_,54H1,SME,2014,140.48262
C,Landings_t_,54H0,SME,2014,0.005063
C,Landings_t_,53H1,SME,2014,1.150121
C,Landings_t_,52H1,SME,2014,25.886994
C,Landings_t_,51H1,SME,2014,4.212596
C,Landings_t_,50H7,SME,2014,0.2332
C,Landings_t_,50H1,SME,2014,479.35707
C,Landings_t_,49H7,SME,2014,0.0232
C,Landings_t_,49H6,SME,2014,0.0012
C,Landings_t_,49H5,SME,2014,0.1708
C,Landings_t_,49H4,SME,2014,0.066659
C,Landings_t_,49H2,SME,2014,2.779951
C,Landings_t_,49H1,SME,2014,3.738427
C,Landings_t_,49H0,SME,2014,0.385131
C,Landings_t_,49G9,SME,2014,3.257071
C,Landings_t_,48H7,SME,2014,0.01
C,Landings_t_,48H3,SME,2014,0.307598
C,Landings_t_,48H2,SME,2014,0.52984
C,Landings_t_,47H3,SME,2014,1.347
C,Landings_t_,47H2,SME,2014,0.08
B,Landings_t_,45H3,SME,2014,1.9
B,Landings_t_,44H3,SME,2014,1.99
B,Landings_t_,40H0,SME,2014,30.297
B,Landings_t_,37G9,SME,2014,1.832
A,Landings_t_,41G2,SOL,2014,7.1955
A,Landings_t_,41G1,SOL,2014,0.928
A,Landings_t_,41G0,SOL,2014,0.029
A,Landings_t_,40G3,SOL,2014,0.003
A,Landings_t_,40G2,SOL,2014,2.4673
A,Landings_t_,40G1,SOL,2014,4.076
A,Landings_t_,40G0,SOL,2014,0.748
A,Landings_t_,39G2,SOL,2014,0.001
A,Landings_t_,39G1,SOL,2014,5.456
A,Landings_t_,39G0,SOL,2014,12.351
A,Landings_t_,39F9,SOL,2014,0.004
A,Landings_t_,38G3,SOL,2014,0.004
A,Landings_t_,38G2,SOL,2014,0.01
A,Landings_t_,38G1,SOL,2014,0.079
A,Landings_t_,38G0,SOL,2014,15.978
A,Landings_t_,38F9,SOL,2014,0.002
A,Landings_t_,37G1,SOL,2014,0.001
A,Landings_t_,37G0,SOL,2014,0.006
B,Landings_t_,40G6,PEL,2014,74
B,Landings_t_,40G5,PEL,2014,130
B,Landings_t_,39G5,PEL,2014,393
B,Landings_t_,38G5,PEL,2014,433
A,Landings_t_,38G4,PEL,2014,73
C,Landings_t_,60H5,FBM,2014,3.284616
C,Landings_t_,60H4,FBM,2014,0.779
C,Landings_t_,59H5,FBM,2014,1.467259
C,Landings_t_,59H4,FBM,2014,0.149347
C,Landings_t_,58H5,FBM,2014,0.901882
C,Landings_t_,58H4,FBM,2014,18.508617
C,Landings_t_,58H3,FBM,2014,0.020784
C,Landings_t_,57H4,FBM,2014,0.044251
C,Landings_t_,57H3,FBM,2014,16.376885
C,Landings_t_,56H3,FBM,2014,1.008557
C,Landings_t_,56H2,FBM,2014,178.17314
C,Landings_t_,55H2,FBM,2014,90.162988
C,Landings_t_,55H1,FBM,2014,5.914996
C,Landings_t_,54H1,FBM,2014,10.474762
C,Landings_t_,54H0,FBM,2014,0.281719
C,Landings_t_,53H1,FBM,2014,1.683258
